,Title,Technology Broad Category,Technology Mid-Type,Technology Sub-Type,Status,Rated Power (kW),Duration (hours),Latitude,Longitude,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support,Unnamed: 38,Unnamed: 39,Latitude_North,Latitude_South,Longitude_East,Longitude_West,Elevation,Elevation_North,Elevation_South,Elevation_East,Elevation_West
414,San Diego Zoo Solar-to-EV Project,Electro-chemical,Lithium-ion Battery,Lithium Polymer Battery,Operational,100,1,32.7360673,-117.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,,32.7410673,32.7310673,-117.145,-117.155,79.58240509,90.1016922,83.84463501,71.4390564,62.25405502
415,InterContinental Hotels Group Stem Energy Optimization System,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,15,1,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,38.005,37.995,0.005,-0.005,-1073.755615,-1075.405273,-1070.557373,-1078.839111,-1067.984253
416,SDG&amp;E Borrego Springs Microgrid Demonstration Project: Home Energy Storage,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,24,2,33.2558717,-116.38,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,33.2608717,33.2508717,-116.375,-116.385,186.5778351,184.667038,188.1420898,177.8817596,200.8128967
417,SDG&amp;E Borrego Springs Microgrid Demonstration Project: Community Energy Storage,Electro-chemical,Lithium-ion Battery,Lithium Polymer Battery,Operational,75,2,33.2558717,-116.38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,33.2608717,33.2508717,-116.375,-116.385,186.5778351,184.667038,188.1420898,177.8817596,200.8128967
418,EnerDel GRESS - FSK St. Petersburg,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,1500,1.67,59.9342802,30.34,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,59.9392802,59.9292802,30.345,30.335,3.259020567,3.440346241,3.048410654,3.16642952,2.907603025
419,100 kW Furukawa Battery Iwaki Factory ,Electro-chemical,Lead-acid Battery,Hybrid Lead-acid Battery/Electro-chemical capacitor,Operational,100,1.92,37.0504195,140.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37.0554195,37.0454195,140.895,140.885,10.03926754,10.25433064,33.61051559,8.504444122,9.202313423
420,PSE Bellevue Storage Innovation Project,Electro-chemical,Flow Battery,Zinc Bromine Flow Battery,Operational,500,2,47.6134732,-122.19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,47.6184732,47.6084732,-122.185,-122.195,26.31833076,44.58111954,15.91880131,30.47969627,51.73464203
421,Pennsylvania ATLAS (Aggregated Transactive Load Asset),Thermal Storage,Heat Thermal Storage,Heat Thermal Storage,Operational,2010,5,40.9995386,-75.18,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,41.0045386,40.9945386,-75.175,-75.185,131.0540771,140.5445557,138.6787415,147.0121155,122.1540375
422, Pillar Mountain Wind Project - Xtreme Power,Electro-chemical,Lead-acid Battery,Advanced Lead-acid Battery,Operational,3000,0.25,57,-153,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,57.005,56.995,-152.995,-153.005,-112.1999969,-106.7386703,-113.8522644,-114.0871124,-111.8000031
423,Scripps Ranch Community Center BESS,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,100,1,32.928679,-117.08,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,32.933679,32.923679,-117.075,-117.085,233.7364197,203.9966125,275.8701172,245.1607666,236.7510376
